0, -0.939, 0.299
1, -0.938, 0.299
2, -0.938, 0.301
3, -0.937, 0.301
4, -0.937, 0.301
5, -0.937, 0.301
6, -0.937, 0.299
7, -0.937, 0.299
8, -0.936, 0.299
9, -0.936, 0.296
10, -0.935, 0.299
11, -0.934, 0.299
12, -0.933, 0.299
13, -0.933, 0.299
14, -0.932, 0.299
15, -0.931, 0.299
16, -0.930, 0.299
17, -0.929, 0.296
18, -0.928, 0.296
19, -0.927, 0.294
20, -0.926, 0.292
21, -0.925, 0.292
22, -0.924, 0.292
23, -0.922, 0.294
24, -0.921, 0.299
25, -0.920, 0.294
26, -0.919, 0.294
27, -0.918, 0.294
28, -0.917, 0.294
29, -0.917, 0.294
30, -0.916, 0.292
31, -0.915, 0.294
32, -0.914, 0.296
33, -0.913, 0.294
34, -0.912, 0.294
35, -0.911, 0.296
36, -0.910, 0.294
37, -0.909, 0.296
38, -0.908, 0.296
39, -0.907, 0.296
40, -0.906, 0.294
41, -0.905, 0.296
42, -0.905, 0.294
43, -0.904, 0.296
44, -0.903, 0.292
45, -0.902, 0.292
46, -0.901, 0.292
47, -0.900, 0.292
48, -0.898, 0.292
49, -0.897, 0.292
50, -0.896, 0.292
51, -0.895, 0.296
52, -0.894, 0.296
53, -0.893, 0.296
54, -0.892, 0.301
55, -0.892, 0.301
56, -0.891, 0.301
57, -0.890, 0.296
58, -0.889, 0.296
59, -0.889, 0.296
60, -0.888, 0.299
61, -0.887, 0.301
62, -0.886, 0.301
63, -0.885, 0.301
64, -0.884, 0.301
65, -0.883, 0.301
66, -0.882, 0.301
67, -0.881, 0.299
68, -0.880, 0.296
69, -0.879, 0.296
70, -0.877, 0.296
71, -0.876, 0.294
72, -0.875, 0.296
73, -0.874, 0.299
74, -0.873, 0.303
75, -0.872, 0.303
76, -0.871, 0.301
77, -0.869, 0.301
78, -0.868, 0.299
79, -0.867, 0.299
80, -0.866, 0.296
81, -0.865, 0.296
82, -0.864, 0.296
83, -0.863, 0.296
84, -0.862, 0.296
85, -0.861, 0.296
86, -0.860, 0.296
