epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,1286,0.1266907644494325,0.001023472189717864,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.06003214416503906,0.013067035064697266,,0.1,0.5,99.9,99.5
2,2572,0.12834788536765898,0.0010026320699214194,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05588747200012207,0.0031016375732421876,,0.1,0.5,99.9,99.5
3,3858,0.1327144365473817,0.0009514679248744556,,0.8991057542768274,4.621889580093312,99.10089424572317,95.37811041990669,0.0546692854309082,0.002695666198730469,,0.1,0.5,99.9,99.5
4,5144,0.12836834134803404,0.0009388719709998527,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05505972984313965,0.002744332962036133,,0.1,0.5,99.9,99.5
5,6430,0.13057977767606174,0.001021695915684915,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05604475936889648,0.0026804930877685545,,0.1,0.5,99.9,99.5
6,7716,0.13189119072761357,0.0009746957529759147,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.0557238597869873,0.0028879015350341797,,0.1,0.5,99.9,99.5
7,9002,0.12865219924535204,0.0009745168463438518,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05512680435180664,0.002831848373413086,,0.1,0.5,99.9,99.5
8,10288,0.12765954701377666,0.0009429751436224621,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05505179183959961,0.002790811767578125,,0.1,0.5,99.9,99.5
9,11574,0.13063372312400426,0.0010452298317133546,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.055242910995483396,0.0027238929748535155,,0.1,0.5,99.9,99.5
10,12860,0.12352839802879939,0.0009071695304028168,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05721204460144043,0.003122900085449219,,0.1,0.5,99.9,99.5
11,14146,0.13409260142461324,0.001010596288678064,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05854594696044922,0.0028056824493408205,,0.1,0.5,99.9,99.5
12,15432,0.13311618390387361,0.0010241064276331876,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.056784743881225584,0.0031740493774414062,,0.1,0.5,99.9,99.5
13,16718,0.1290443273576941,0.0010225114703734592,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05527962928771973,0.002829720230102539,,0.1,0.5,99.9,99.5
14,18004,0.12879719797226355,0.0009888746134044594,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05529243553161621,0.0027425975036621092,,0.1,0.5,99.9,99.5
15,19290,0.1324744222694385,0.0009132657043670607,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.0570866822052002,0.0026719913482666016,,0.1,0.5,99.9,99.5
16,20576,0.13368795819082305,0.0009451980353514107,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.057319834518432616,0.0028413204193115235,,0.1,0.5,99.9,99.5
17,21862,0.13485123580944483,0.0010462166918195424,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05888464851379394,0.0029948582458496093,,0.1,0.5,99.9,99.5
18,23148,0.12999378930354377,0.0009936175858066018,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.056097218322753904,0.003069108657836914,,0.1,0.5,99.9,99.5
19,24434,0.12836283269232576,0.0009687139680189071,,0.8991057542768274,4.621889580093312,99.10089424572317,95.37811041990669,0.05546324401855469,0.00266196044921875,,0.1,0.5,99.9,99.5
20,25720,0.1287825810223308,0.0009716535986489494,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05398981208801269,0.002673431701660156,,0.1,0.5,99.9,99.5
21,27006,0.12202668431016557,0.0008314475301264975,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05504912704467774,0.0028640814208984373,,0.1,0.5,99.9,99.5
22,28292,0.1279033322356537,0.0010759949127956646,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05639927864074707,0.002884573974609375,,0.1,0.5,99.9,99.5
23,29578,0.13160799432134554,0.0009688072219421482,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.057677882080078124,0.003363681564331055,,0.1,0.5,99.9,99.5
24,30864,0.13058244384836817,0.0009049114135338767,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05662240051269531,0.002743839797973633,,0.1,0.5,99.9,99.5
25,32150,0.1291630900295489,0.0010589950748402075,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.055047935104370116,0.0027622521209716795,,0.1,0.5,99.9,99.5
26,33436,0.1280346380236731,0.0009892007240425928,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05388193206787109,0.0025585052490234377,,0.1,0.5,99.9,99.5
27,34722,0.1258817927833664,0.0009376094278243615,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.053451570434570314,0.0024892984771728516,,0.1,0.5,99.9,99.5
28,36008,0.12742943989915387,0.0010344906135072605,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05608167541503906,0.0028713104248046877,,0.1,0.5,99.9,99.5
29,37294,0.12866571921026726,0.0009434905430391825,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05580255500793457,0.0029557456970214844,,0.1,0.5,99.9,99.5
30,38580,0.1337853440229852,0.0009694848423983038,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05618991218566895,0.0027752489471435547,,0.1,0.5,99.9,99.5
31,39866,0.1301073182611777,0.0009354021093151988,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05538033401489258,0.0029039306640625,,0.1,0.5,99.9,99.5
32,41152,0.12443815067433643,0.0008871025097314529,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05649922721862793,0.002867192077636719,,0.1,0.5,99.9,99.5
33,42438,0.1298177583406724,0.0009884261417537233,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05621460029602051,0.002863141860961914,,0.1,0.5,99.9,99.5
34,43724,0.13160793073069807,0.0009673787498177489,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05684113220214844,0.002998360595703125,,0.1,0.5,99.9,99.5
35,45010,0.13536509440438374,0.001025518399560433,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05886970947265625,0.0029918843078613282,,0.1,0.5,99.9,99.5
36,46296,0.13278664864055106,0.0009930365563922128,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.055882603302001954,0.0027053955841064453,,0.1,0.5,99.9,99.5
37,47582,0.1294309314265036,0.0009541185239610924,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.0557201821899414,0.0028111724853515626,,0.1,0.5,99.9,99.5
38,48868,0.13159466531376818,0.0009932230642386952,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.056041634521484376,0.0027960330963134766,,0.1,0.5,99.9,99.5
39,50154,0.13247756361034388,0.0009813060285885635,,0.8991057542768274,4.621889580093312,99.10089424572317,95.37811041990669,0.055520721893310546,0.0027656761932373045,,0.1,0.5,99.9,99.5
40,51440,0.13017689273294356,0.000944178545641862,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.057760470581054685,0.002657527084350586,,0.1,0.5,99.9,99.5
41,52726,0.13329035256921226,0.0009831924275328545,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.054474881134033204,0.002604750289916992,,0.1,0.5,99.9,99.5
42,54012,0.12005506054980573,0.0008398707880758758,,0.8942457231726283,4.621889580093312,99.10575427682737,95.37811041990669,0.05219044158935547,0.0024444640350341795,,0.1,0.5,99.9,99.5
43,55298,0.11743688175503982,0.000811622079757287,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05199366485595703,0.002503664093017578,,0.1,0.5,99.9,99.5
44,56584,0.11890391131767404,0.0008713674396971707,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.051572329177856445,0.002573836669921875,,0.1,0.5,99.9,99.5
45,57870,0.11521258305984189,0.0008497171416809177,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05026793014526367,0.002793224105834961,,0.1,0.5,99.9,99.5
46,59156,0.11974003878574163,0.0008435015730316494,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05077403739929199,0.0024988571166992186,,0.1,0.5,99.9,99.5
47,60442,0.11929381023484106,0.0009178592480174491,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05334679977416992,0.002609425735473633,,0.1,0.5,99.9,99.5
48,61728,0.12090884582436474,0.0008570686283971808,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05382682075500488,0.0026882134246826173,,0.1,0.5,99.9,99.5
49,63014,0.12122168362974935,0.0008986988112121867,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.051692414321899416,0.0025850867462158204,,0.1,0.5,99.9,99.5
50,64300,0.11879419538874648,0.0009771047817603983,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.050962924194335936,0.0028861082458496094,,0.1,0.5,99.9,99.5
51,65586,0.12026168287820059,0.0008770896709910819,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05198055801391602,0.00262527099609375,,0.1,0.5,99.9,99.5
52,66872,0.11988017366240221,0.0008860616995424356,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.051892431259155276,0.0022795833587646486,,0.1,0.5,99.9,99.5
53,68158,0.11725871930040802,0.000878959013551798,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05120340995788574,0.0028371895599365233,,0.1,0.5,99.9,99.5
54,69444,0.12197605540185101,0.0008988215430157366,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05342042663574219,0.0026756848907470705,,0.1,0.5,99.9,99.5
55,70730,0.12061403772879166,0.0009081880931349972,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05112523796081543,0.002552656707763672,,0.1,0.5,99.9,99.5
56,72016,0.11620378865053643,0.0008131743960580781,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.0508619620513916,0.0024807160186767576,,0.1,0.5,99.9,99.5
57,73302,0.11827839496161667,0.0008711831565963721,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05099670967102051,0.0025600616455078123,,0.1,0.5,99.9,99.5
58,74588,0.11857243681769719,0.0008112955983282063,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05270087364196777,0.0026639505767822266,,0.1,0.5,99.9,99.5
59,75874,0.12164991454425533,0.0008642578940740084,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05189750061035156,0.0024900765228271482,,0.1,0.5,99.9,99.5
60,77160,0.11858230653113191,0.0008166155214443178,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05209569572448731,0.002556923065185547,,0.1,0.5,99.9,99.5
61,78446,0.11699836602663363,0.0008581515233587144,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05047999755859375,0.002587332305908203,,0.1,0.5,99.9,99.5
62,79732,0.11833935447651342,0.0008818176263598595,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05149280982971191,0.002436014709472656,,0.1,0.5,99.9,99.5
63,81018,0.12003525623452052,0.0009055193252919436,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05226037078857422,0.00280704460144043,,0.1,0.5,99.9,99.5
64,82304,0.11854258221378593,0.0009406660429982709,,0.8991057542768274,4.6267496111975115,99.10089424572317,95.37325038880249,0.05201491508483887,0.0024778538513183595,,0.1,0.5,99.9,99.5
